code,code_type,short_description,long_description
E11.9-5811,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
710204,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
810016,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
M54.5-87,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
810016,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
453785,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
Z00.00-5006,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
N39.0-1010,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
A41.9-646,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
992149,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
992147,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
992133,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
E11.9-3450,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
J18.9-4581,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
A41.9-5273,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
J18.9-3382,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
Z00.00-3586,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
710200,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
I10-5257,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
850253,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
M54.5-3185,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
N39.0-5902,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
C34.90-3653,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
R07.9-2628,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
930005,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
710207,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
453788,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
930109,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
R07.9-4115,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
453784,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
M54.5-609,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
C34.90-2685,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
K21.9-5410,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
N39.0-4017,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
810011,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
810016,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
N39.0-4518,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
E11.9-3204,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
810018,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
E11.9-2850,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
364159,CPT,venipuncture,venipuncture documented during patient clinical encounter
I10-4554,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
R07.9-5398,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
A41.9-5488,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
E11.9-5548,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
710208,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
J18.9-3823,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
